id,year,age,number_of_visits,county
124,2012,AllAges,133.0,Los Angeles
125,2012,Children (0-17),55.0,Los Angeles
126,2012,Adults (18+),78.0,Los Angeles
127,2012,AllAges,101.0,Los Angeles
128,2012,Children (0-17),21.0,Los Angeles
129,2012,Adults (18+),80.0,Los Angeles
130,2012,AllAges,520.0,Los Angeles
131,2012,Children (0-17),195.0,Los Angeles
132,2012,Adults (18+),325.0,Los Angeles
133,2012,AllAges,74.0,Los Angeles
134,2012,Children (0-17),0.0,Los Angeles
135,2012,Adults (18+),65.0,Los Angeles
136,2012,AllAges,54.0,Los Angeles
137,2012,Children (0-17),0.0,Los Angeles
138,2012,Adults (18+),47.0,Los Angeles
139,2012,AllAges,31.0,Los Angeles
140,2012,Children (0-17),0.0,Los Angeles
141,2012,Adults (18+),22.0,Los Angeles
142,2012,AllAges,259.0,Los Angeles
143,2012,Children (0-17),113.0,Los Angeles
144,2012,Adults (18+),146.0,Los Angeles
145,2012,AllAges,33.0,Los Angeles
146,2012,Children (0-17),23.0,Los Angeles
147,2012,Adults (18+),0.0,Los Angeles
148,2012,AllAges,443.0,Los Angeles
149,2012,Children (0-17),256.0,Los Angeles
150,2012,Adults (18+),187.0,Los Angeles
151,2012,AllAges,273.0,Los Angeles
152,2012,Children (0-17),111.0,Los Angeles
153,2012,Adults (18+),162.0,Los Angeles
154,2012,AllAges,305.0,Los Angeles
155,2012,Children (0-17),137.0,Los Angeles
156,2012,Adults (18+),168.0,Los Angeles
157,2012,AllAges,292.0,Los Angeles
158,2012,Children (0-17),158.0,Los Angeles
159,2012,Adults (18+),134.0,Los Angeles
160,2012,AllAges,73.0,Los Angeles
161,2012,Children (0-17),12.0,Los Angeles
162,2012,Adults (18+),61.0,Los Angeles
163,2012,AllAges,281.0,Los Angeles
164,2012,Children (0-17),122.0,Los Angeles
165,2012,Adults (18+),159.0,Los Angeles
166,2012,AllAges,159.0,Los Angeles
167,2012,Children (0-17),60.0,Los Angeles
168,2012,Adults (18+),99.0,Los Angeles
169,2012,AllAges,34.0,Los Angeles
170,2012,Children (0-17),0.0,Los Angeles
171,2012,Adults (18+),24.0,Los Angeles
172,2012,AllAges,45.0,Los Angeles
173,2012,Children (0-17),0.0,Los Angeles
174,2012,Adults (18+),38.0,Los Angeles
175,2012,AllAges,443.0,Los Angeles
176,2012,Children (0-17),234.0,Los Angeles
177,2012,Adults (18+),209.0,Los Angeles
178,2012,AllAges,33.0,Los Angeles
179,2012,Children (0-17),0.0,Los Angeles
180,2012,Adults (18+),26.0,Los Angeles
181,2012,AllAges,22.0,Los Angeles
182,2012,Children (0-17),0.0,Los Angeles
183,2012,Adults (18+),12.0,Los Angeles
184,2012,AllAges,17.0,Los Angeles
185,2012,Children (0-17),0.0,Los Angeles
186,2012,Adults (18+),0.0,Los Angeles
187,2012,AllAges,466.0,Los Angeles
188,2012,Children (0-17),208.0,Los Angeles
189,2012,Adults (18+),258.0,Los Angeles
190,2012,AllAges,429.0,Los Angeles
191,2012,Children (0-17),210.0,Los Angeles
192,2012,Adults (18+),219.0,Los Angeles
193,2012,AllAges,295.0,Los Angeles
194,2012,Children (0-17),143.0,Los Angeles
195,2012,Adults (18+),152.0,Los Angeles
196,2012,AllAges,121.0,Los Angeles
197,2012,Children (0-17),53.0,Los Angeles
198,2012,Adults (18+),68.0,Los Angeles
199,2012,AllAges,52.0,Los Angeles
200,2012,Children (0-17),21.0,Los Angeles
201,2012,Adults (18+),31.0,Los Angeles
202,2012,AllAges,79.0,Los Angeles
203,2012,Children (0-17),31.0,Los Angeles
204,2012,Adults (18+),48.0,Los Angeles
205,2012,AllAges,197.0,Los Angeles
206,2012,Children (0-17),80.0,Los Angeles
207,2012,Adults (18+),117.0,Los Angeles
208,2012,AllAges,218.0,Los Angeles
209,2012,Children (0-17),92.0,Los Angeles
210,2012,Adults (18+),126.0,Los Angeles
211,2012,AllAges,37.0,Los Angeles
212,2012,Children (0-17),15.0,Los Angeles
213,2012,Adults (18+),22.0,Los Angeles
214,2012,AllAges,278.0,Los Angeles
215,2012,Children (0-17),134.0,Los Angeles
216,2012,Adults (18+),144.0,Los Angeles
217,2012,AllAges,47.0,Los Angeles
218,2012,Children (0-17),24.0,Los Angeles
219,2012,Adults (18+),23.0,Los Angeles
220,2012,AllAges,211.0,Los Angeles
221,2012,Children (0-17),77.0,Los Angeles
222,2012,Adults (18+),134.0,Los Angeles
223,2012,AllAges,689.0,Los Angeles
224,2012,Children (0-17),359.0,Los Angeles
225,2012,Adults (18+),330.0,Los Angeles
