id,year,age,number_of_visits,county
1940,2012,AllAges,86.0,Kern
1941,2012,Children (0-17),43.0,Kern
1942,2012,Adults (18+),43.0,Kern
1943,2012,AllAges,16.0,Los Angeles
1944,2012,Children (0-17),0.0,Los Angeles
1945,2012,Adults (18+),15.0,Los Angeles
1946,2012,AllAges,52.0,Inyo
1947,2012,Children (0-17),25.0,Inyo
1948,2012,Adults (18+),27.0,Inyo
1949,2012,AllAges,14.0,Kern
1950,2012,Children (0-17),0.0,Kern
1951,2012,Adults (18+),0.0,Kern
1952,2012,AllAges,523.0,Los Angeles
1953,2012,Children (0-17),220.0,Los Angeles
1954,2012,Adults (18+),303.0,Los Angeles
1955,2012,AllAges,836.0,Los Angeles
1956,2012,Children (0-17),365.0,Los Angeles
1957,2012,Adults (18+),471.0,Los Angeles
1958,2012,AllAges,302.0,Los Angeles
1959,2012,Children (0-17),143.0,Los Angeles
1960,2012,Adults (18+),159.0,Los Angeles
1961,2012,AllAges,62.0,Los Angeles
1962,2012,Children (0-17),26.0,Los Angeles
1963,2012,Adults (18+),36.0,Los Angeles
1964,2012,AllAges,20.0,Mono
1965,2012,Children (0-17),0.0,Mono
1966,2012,Adults (18+),14.0,Mono
1967,2012,AllAges,657.0,Los Angeles
1968,2012,Children (0-17),320.0,Los Angeles
1969,2012,Adults (18+),337.0,Los Angeles
1970,2012,AllAges,159.0,Los Angeles
1971,2012,Children (0-17),62.0,Los Angeles
1972,2012,Adults (18+),97.0,Los Angeles
1973,2012,AllAges,207.0,Los Angeles
1974,2012,Children (0-17),113.0,Los Angeles
1975,2012,Adults (18+),94.0,Los Angeles
1976,2012,AllAges,143.0,Kern
1977,2012,Children (0-17),35.0,Kern
1978,2012,Adults (18+),108.0,Kern
1979,2012,AllAges,91.0,Kern
1980,2012,Children (0-17),41.0,Kern
1981,2012,Adults (18+),50.0,Kern
1982,2012,AllAges,171.0,Kern
1983,2012,Children (0-17),65.0,Kern
1984,2012,Adults (18+),106.0,Kern
1985,2012,AllAges,72.0,Los Angeles
1986,2012,Children (0-17),24.0,Los Angeles
1987,2012,Adults (18+),48.0,Los Angeles
1988,2012,AllAges,50.0,Fresno
1989,2012,Children (0-17),26.0,Fresno
1990,2012,Adults (18+),24.0,Fresno
1991,2012,AllAges,123.0,Madera
1992,2012,Children (0-17),68.0,Madera
1993,2012,Adults (18+),55.0,Madera
1994,2012,AllAges,185.0,Fresno
1995,2012,Children (0-17),79.0,Fresno
1996,2012,Adults (18+),106.0,Fresno
1997,2012,AllAges,316.0,Fresno
1998,2012,Children (0-17),124.0,Fresno
1999,2012,Adults (18+),192.0,Fresno
2000,2012,AllAges,22.0,Madera
2001,2012,Children (0-17),0.0,Madera
2002,2012,Adults (18+),15.0,Madera
2003,2012,AllAges,18.0,Fresno
2004,2012,Children (0-17),0.0,Fresno
2005,2012,Adults (18+),0.0,Fresno
2006,2012,AllAges,116.0,Tulare
2007,2012,Children (0-17),57.0,Tulare
2008,2012,Adults (18+),59.0,Tulare
2009,2012,AllAges,61.0,Fresno
2010,2012,Children (0-17),30.0,Fresno
2011,2012,Adults (18+),31.0,Fresno
2012,2012,AllAges,103.0,Merced
2013,2012,Children (0-17),47.0,Merced
2014,2012,Adults (18+),56.0,Merced
2015,2012,AllAges,63.0,Fresno
2016,2012,Children (0-17),43.0,Fresno
2017,2012,Adults (18+),20.0,Fresno
2018,2012,AllAges,65.0,Fresno
2019,2012,Children (0-17),43.0,Fresno
2020,2012,Adults (18+),22.0,Fresno
2021,2012,AllAges,16.0,Fresno
2022,2012,Children (0-17),0.0,Fresno
2023,2012,Children (0-17),71.0,Fresno
2024,2012,Adults (18+),38.0,Fresno
2025,2012,AllAges,88.0,Fresno
2026,2012,Children (0-17),40.0,Fresno
2027,2012,Adults (18+),48.0,Fresno
2028,2012,AllAges,387.0,Merced
2029,2012,Children (0-17),170.0,Merced
2030,2012,Adults (18+),217.0,Merced
2031,2012,AllAges,49.0,Madera
2032,2012,Children (0-17),32.0,Madera
2033,2012,Adults (18+),17.0,Madera
2034,2012,AllAges,363.0,Madera
2035,2012,Children (0-17),211.0,Madera
2036,2012,Adults (18+),152.0,Madera
2037,2012,AllAges,543.0,Madera
2038,2012,Children (0-17),333.0,Madera
2039,2012,Adults (18+),210.0,Madera
2040,2012,AllAges,80.0,Fresno
2041,2012,Children (0-17),58.0,Fresno
2042,2012,Adults (18+),22.0,Fresno
2043,2012,AllAges,14.0,Madera
2044,2012,Children (0-17),0.0,Madera
2045,2012,Adults (18+),0.0,Madera
2046,2012,AllAges,84.0,Fresno
2047,2012,Children (0-17),51.0,Fresno
2048,2012,Adults (18+),33.0,Fresno
2049,2012,AllAges,43.0,Tulare
2050,2012,Children (0-17),25.0,Tulare
2051,2012,Adults (18+),18.0,Tulare
2052,2012,AllAges,132.0,Fresno
2053,2012,Children (0-17),92.0,Fresno
2054,2012,Adults (18+),40.0,Fresno
2055,2012,AllAges,63.0,Fresno
2056,2012,Children (0-17),29.0,Fresno
2057,2012,Adults (18+),34.0,Fresno
2058,2012,AllAges,165.0,Fresno
2059,2012,Children (0-17),82.0,Fresno
2060,2012,Adults (18+),83.0,Fresno
2061,2012,AllAges,31.0,Fresno
2062,2012,Children (0-17),22.0,Fresno
2063,2012,Adults (18+),0.0,Fresno
2064,2012,AllAges,220.0,Fresno
2065,2012,Children (0-17),133.0,Fresno
2066,2012,Adults (18+),87.0,Fresno
2067,2012,AllAges,21.0,Fresno
2068,2012,Children (0-17),18.0,Fresno
2069,2012,Adults (18+),0.0,Fresno
2070,2012,AllAges,263.0,Fresno
2071,2012,Children (0-17),138.0,Fresno
2072,2012,Adults (18+),125.0,Fresno
2073,2012,AllAges,15.0,Fresno
2074,2012,Children (0-17),0.0,Fresno
2075,2012,Adults (18+),0.0,Fresno
2076,2012,AllAges,191.0,Fresno
2077,2012,Children (0-17),103.0,Fresno
2078,2012,Adults (18+),88.0,Fresno
2079,2012,AllAges,539.0,Fresno
2080,2012,Children (0-17),264.0,Fresno
2081,2012,Adults (18+),275.0,Fresno
2082,2012,AllAges,345.0,Fresno
2083,2012,Children (0-17),194.0,Fresno
2084,2012,Adults (18+),151.0,Fresno
2085,2012,AllAges,191.0,Fresno
2086,2012,Children (0-17),87.0,Fresno
2087,2012,Adults (18+),104.0,Fresno
2088,2012,AllAges,403.0,Fresno
2089,2012,Children (0-17),218.0,Fresno
2090,2012,Adults (18+),185.0,Fresno
2091,2012,AllAges,556.0,Fresno
2092,2012,Children (0-17),268.0,Fresno
2093,2012,Adults (18+),288.0,Fresno
2094,2012,AllAges,246.0,Fresno
2095,2012,Children (0-17),106.0,Fresno
2096,2012,Adults (18+),140.0,Fresno
2097,2012,AllAges,145.0,Fresno
2098,2012,Children (0-17),77.0,Fresno
2099,2012,Adults (18+),68.0,Fresno
2100,2012,AllAges,151.0,Fresno
2101,2012,Children (0-17),83.0,Fresno
2102,2012,Adults (18+),68.0,Fresno
2103,2012,AllAges,37.0,Fresno
2104,2012,Children (0-17),14.0,Fresno
2105,2012,Adults (18+),23.0,Fresno
2106,2012,AllAges,635.0,Fresno
2107,2012,Children (0-17),370.0,Fresno
2108,2012,Adults (18+),265.0,Fresno
2109,2012,AllAges,29.0,Fresno
2110,2012,Children (0-17),18.0,Fresno
2111,2012,Adults (18+),0.0,Fresno
2112,2012,AllAges,187.0,Fresno
2113,2012,Children (0-17),111.0,Fresno
2114,2012,Adults (18+),76.0,Fresno
2115,2012,AllAges,424.0,Fresno
2116,2012,Children (0-17),215.0,Fresno
2117,2012,Adults (18+),209.0,Fresno
2118,2012,AllAges,557.0,Fresno
2119,2012,Children (0-17),284.0,Fresno
2120,2012,Adults (18+),273.0,Fresno
2121,2012,AllAges,230.0,Fresno
2122,2012,Children (0-17),111.0,Fresno
2123,2012,Adults (18+),119.0,Fresno
2124,2012,AllAges,25.0,Fresno
2125,2012,Children (0-17),15.0,Fresno
2126,2012,Adults (18+),0.0,Fresno
2127,2012,AllAges,241.0,Monterey
2128,2012,Children (0-17),78.0,Monterey
2129,2012,Adults (18+),163.0,Monterey
2130,2012,AllAges,408.0,Monterey
2131,2012,Children (0-17),250.0,Monterey
2132,2012,Adults (18+),158.0,Monterey
2133,2012,AllAges,416.0,Monterey
2134,2012,Children (0-17),163.0,Monterey
2135,2012,Adults (18+),253.0,Monterey
2136,2012,AllAges,121.0,Monterey
2137,2012,Children (0-17),55.0,Monterey
2138,2012,Adults (18+),66.0,Monterey
2139,2012,AllAges,19.0,Monterey
2140,2012,Children (0-17),0.0,Monterey
2141,2012,Adults (18+),0.0,Monterey
2142,2012,AllAges,24.0,Monterey
2143,2012,Children (0-17),0.0,Monterey
2144,2012,Adults (18+),22.0,Monterey
2145,2012,AllAges,34.0,Monterey
2146,2012,Children (0-17),18.0,Monterey
2147,2012,Adults (18+),16.0,Monterey
2148,2012,AllAges,57.0,Monterey
2149,2012,Children (0-17),27.0,Monterey
2150,2012,Adults (18+),30.0,Monterey
2151,2012,AllAges,41.0,Monterey
2152,2012,Children (0-17),20.0,Monterey
2153,2012,Adults (18+),21.0,Monterey
2154,2012,AllAges,92.0,Monterey
2155,2012,Children (0-17),42.0,Monterey
2156,2012,Adults (18+),50.0,Monterey
2157,2012,AllAges,77.0,Monterey
2158,2012,Children (0-17),23.0,Monterey
2159,2012,Adults (18+),54.0,Monterey
2160,2012,AllAges,37.0,Monterey
2161,2012,Children (0-17),0.0,Monterey
2162,2012,Adults (18+),28.0,Monterey
2163,2012,AllAges,183.0,Monterey
2164,2012,Children (0-17),86.0,Monterey
2165,2012,Adults (18+),97.0,Monterey
2166,2012,AllAges,69.0,Monterey
2167,2012,Children (0-17),27.0,Monterey
2168,2012,Adults (18+),42.0,Monterey
2169,2012,AllAges,72.0,San Mateo
2170,2012,Children (0-17),14.0,San Mateo
2171,2012,Adults (18+),58.0,San Mateo
2172,2012,AllAges,98.0,San Mateo
2173,2012,Children (0-17),32.0,San Mateo
2174,2012,Adults (18+),66.0,San Mateo
2175,2012,AllAges,264.0,San Mateo
2176,2012,Children (0-17),70.0,San Mateo
2177,2012,Adults (18+),194.0,San Mateo
2178,2012,AllAges,271.0,San Mateo
2179,2012,Children (0-17),82.0,San Mateo
2180,2012,Adults (18+),189.0,San Mateo
2181,2012,AllAges,54.0,San Mateo
2182,2012,Children (0-17),29.0,San Mateo
2183,2012,Adults (18+),25.0,San Mateo
2184,2012,AllAges,20.0,Santa Clara
2185,2012,Children (0-17),0.0,Santa Clara
2186,2012,Adults (18+),12.0,Santa Clara
2187,2012,AllAges,14.0,Santa Clara
2188,2012,Children (0-17),0.0,Santa Clara
2189,2012,Adults (18+),0.0,Santa Clara
2190,2012,AllAges,111.0,San Mateo
2191,2012,Children (0-17),53.0,San Mateo
2192,2012,Adults (18+),58.0,San Mateo
2193,2012,AllAges,93.0,San Mateo
2194,2012,Children (0-17),15.0,San Mateo
2195,2012,Adults (18+),78.0,San Mateo
2196,2012,AllAges,12.0,San Mateo
2197,2012,Children (0-17),0.0,San Mateo
2198,2012,Adults (18+),0.0,San Mateo
2199,2012,AllAges,62.0,Santa Clara
2200,2012,Children (0-17),28.0,Santa Clara
2201,2012,Adults (18+),34.0,Santa Clara
2202,2012,AllAges,23.0,Santa Clara
2203,2012,Children (0-17),0.0,Santa Clara
2204,2012,Adults (18+),13.0,Santa Clara
2205,2012,AllAges,47.0,Santa Clara
2206,2012,Children (0-17),13.0,Santa Clara
2207,2012,Adults (18+),34.0,Santa Clara
2208,2012,AllAges,156.0,San Mateo
2209,2012,Children (0-17),45.0,San Mateo
2210,2012,Adults (18+),111.0,San Mateo
2211,2012,AllAges,153.0,San Mateo
2212,2012,Children (0-17),53.0,San Mateo
2213,2012,Adults (18+),100.0,San Mateo
2214,2012,AllAges,63.0,San Mateo
2215,2012,Children (0-17),18.0,San Mateo
2216,2012,Adults (18+),45.0,San Mateo
2217,2012,AllAges,217.0,San Mateo
2218,2012,Children (0-17),87.0,San Mateo
2219,2012,Adults (18+),130.0,San Mateo
2220,2012,AllAges,14.0,San Mateo
2221,2012,Children (0-17),0.0,San Mateo
2222,2012,Adults (18+),0.0,San Mateo
2223,2012,AllAges,220.0,San Mateo
2224,2012,Children (0-17),51.0,San Mateo
2225,2012,Adults (18+),169.0,San Mateo
2226,2012,AllAges,75.0,San Mateo
2227,2012,Children (0-17),17.0,San Mateo
2228,2012,Adults (18+),58.0,San Mateo
2229,2012,AllAges,340.0,San Mateo
2230,2012,Children (0-17),100.0,San Mateo
2231,2012,Adults (18+),240.0,San Mateo
2232,2012,AllAges,60.0,Santa Clara
2233,2012,Children (0-17),24.0,Santa Clara
2234,2012,Adults (18+),36.0,Santa Clara
2235,2012,AllAges,102.0,Santa Clara
2236,2012,Children (0-17),45.0,Santa Clara
2237,2012,Adults (18+),57.0,Santa Clara
2238,2012,AllAges,77.0,Santa Clara
2239,2012,Children (0-17),35.0,Santa Clara
2240,2012,Adults (18+),42.0,Santa Clara
2241,2012,AllAges,71.0,Santa Clara
2242,2012,Children (0-17),20.0,Santa Clara
2243,2012,Adults (18+),51.0,Santa Clara
2244,2012,AllAges,349.0,San Francisco
2245,2012,Children (0-17),33.0,San Francisco
2246,2012,Adults (18+),316.0,San Francisco
2247,2012,AllAges,219.0,San Francisco
2248,2012,Children (0-17),35.0,San Francisco
2249,2012,Adults (18+),184.0,San Francisco
2250,2012,AllAges,14.0,San Francisco
2251,2012,Children (0-17),0.0,San Francisco
2252,2012,Adults (18+),0.0,San Francisco
2253,2012,AllAges,91.0,San Francisco
2254,2012,Children (0-17),17.0,San Francisco
2255,2012,Adults (18+),74.0,San Francisco
2256,2012,AllAges,31.0,San Francisco
2257,2012,Children (0-17),0.0,San Francisco
2258,2012,Adults (18+),27.0,San Francisco
2259,2012,AllAges,244.0,San Francisco
2260,2012,Children (0-17),0.0,Tehama
2261,2012,Children (0-17),24.0,San Francisco
2262,2012,Adults (18+),220.0,San Francisco
2263,2012,AllAges,296.0,San Francisco
2264,2012,Children (0-17),84.0,San Francisco
2265,2012,Adults (18+),212.0,San Francisco
2266,2012,AllAges,371.0,San Francisco
2267,2012,Children (0-17),172.0,San Francisco
2268,2012,Adults (18+),199.0,San Francisco
2269,2012,AllAges,57.0,San Francisco
2270,2012,Children (0-17),0.0,San Francisco
2271,2012,Adults (18+),46.0,San Francisco
2272,2012,AllAges,154.0,San Francisco
2273,2012,Children (0-17),35.0,San Francisco
2274,2012,Adults (18+),119.0,San Francisco
2275,2012,AllAges,71.0,San Francisco
2276,2012,Children (0-17),23.0,San Francisco
2277,2012,Adults (18+),48.0,San Francisco
2278,2012,AllAges,107.0,San Francisco
2279,2012,Children (0-17),25.0,San Francisco
2280,2012,Adults (18+),82.0,San Francisco
2281,2012,AllAges,73.0,San Francisco
2282,2012,Children (0-17),37.0,San Francisco
2283,2012,Adults (18+),36.0,San Francisco
2284,2012,AllAges,81.0,San Francisco
2285,2012,Children (0-17),25.0,San Francisco
2286,2012,Adults (18+),56.0,San Francisco
2287,2012,AllAges,110.0,San Francisco
2288,2012,Children (0-17),38.0,San Francisco
2289,2012,Adults (18+),72.0,San Francisco
2290,2012,AllAges,20.0,San Francisco
2291,2012,Children (0-17),0.0,San Francisco
2292,2012,Adults (18+),0.0,San Francisco
2293,2012,AllAges,416.0,San Francisco
2294,2009,Adults (18+),0.0,Fresno
2295,2012,Children (0-17),98.0,San Francisco
2296,2012,Adults (18+),318.0,San Francisco
2297,2012,AllAges,37.0,San Francisco
2298,2012,Children (0-17),0.0,San Francisco
2299,2012,Adults (18+),28.0,San Francisco
2300,2012,AllAges,21.0,San Francisco
2301,2012,Children (0-17),0.0,San Francisco
2302,2012,Adults (18+),17.0,San Francisco
2303,2012,AllAges,58.0,San Francisco
2304,2012,Children (0-17),15.0,San Francisco
2305,2012,Adults (18+),43.0,San Francisco
2306,2012,AllAges,77.0,San Francisco
2307,2012,Children (0-17),24.0,San Francisco
2308,2012,Adults (18+),53.0,San Francisco
2309,2012,AllAges,81.0,San Francisco
2310,2012,Children (0-17),12.0,San Francisco
2311,2012,Adults (18+),69.0,San Francisco
2312,2012,AllAges,210.0,San Francisco
2313,2012,Children (0-17),81.0,San Francisco
2314,2012,Adults (18+),129.0,San Francisco
2315,2012,AllAges,22.0,Santa Clara
2316,2012,Children (0-17),0.0,Santa Clara
2317,2012,Adults (18+),0.0,Santa Clara
2318,2012,AllAges,266.0,Santa Clara
2319,2012,Children (0-17),123.0,Santa Clara
2320,2012,Adults (18+),143.0,Santa Clara
2321,2012,AllAges,19.0,Santa Clara
2322,2012,Children (0-17),0.0,Santa Clara
2323,2012,Adults (18+),0.0,Santa Clara
2324,2012,AllAges,221.0,San Mateo
2325,2012,Children (0-17),55.0,San Mateo
2326,2012,Adults (18+),166.0,San Mateo
2327,2012,AllAges,86.0,San Mateo
2328,2012,Children (0-17),25.0,San Mateo
2329,2012,Adults (18+),61.0,San Mateo
2330,2012,AllAges,133.0,San Mateo
2331,2012,Children (0-17),43.0,San Mateo
2332,2012,Adults (18+),90.0,San Mateo
2333,2012,AllAges,59.0,San Mateo
2334,2012,Children (0-17),0.0,San Mateo
2335,2012,Adults (18+),49.0,San Mateo
2336,2012,AllAges,309.0,Alameda
2337,2012,Children (0-17),94.0,Alameda
2338,2012,Adults (18+),215.0,Alameda
2339,2012,AllAges,27.0,Alameda
2340,2012,Children (0-17),0.0,Alameda
2341,2012,Adults (18+),20.0,Alameda
2342,2012,AllAges,97.0,Napa
2343,2012,Children (0-17),33.0,Napa
2344,2012,Adults (18+),64.0,Napa
2345,2012,AllAges,54.0,Contra C;Osta
2346,2012,Children (0-17),25.0,Contra C;Osta
2347,2012,Adults (18+),29.0,Contra C;Osta
2348,2012,AllAges,43.0,Contra C;Osta
2349,2012,Children (0-17),19.0,Contra C;Osta
2350,2012,Adults (18+),24.0,Contra C;Osta
2351,2012,AllAges,35.0,Contra C;Osta
2352,2012,Children (0-17),15.0,Contra C;Osta
2353,2012,Adults (18+),20.0,Contra C;Osta
2354,2012,AllAges,976.0,Contra C;Osta
2355,2012,Children (0-17),311.0,Contra C;Osta
2356,2012,Adults (18+),665.0,Contra C;Osta
2357,2012,AllAges,123.0,Solano
2358,2012,Children (0-17),45.0,Solano
2359,2012,Adults (18+),78.0,Solano
2360,2012,AllAges,12.0,Contra C;Osta
2361,2012,Children (0-17),0.0,Contra C;Osta
2362,2012,Adults (18+),0.0,Contra C;Osta
2363,2012,AllAges,305.0,Contra C;Osta
2364,2012,Children (0-17),130.0,Contra C;Osta
2365,2012,Adults (18+),175.0,Contra C;Osta
2366,2012,AllAges,16.0,Napa
2367,2012,Children (0-17),0.0,Napa
2368,2012,Adults (18+),0.0,Napa
2369,2012,AllAges,35.0,Contra C;Osta
2370,2012,Children (0-17),0.0,Contra C;Osta
2371,2012,Adults (18+),26.0,Contra C;Osta
2372,2012,AllAges,136.0,Contra C;Osta
2373,2012,Children (0-17),34.0,Contra C;Osta
2374,2012,Adults (18+),102.0,Contra C;Osta
2375,2012,AllAges,123.0,Contra C;Osta
2376,2012,Children (0-17),29.0,Contra C;Osta
2377,2012,Adults (18+),94.0,Contra C;Osta
2378,2012,AllAges,421.0,Contra C;Osta
2379,2012,Children (0-17),122.0,Contra C;Osta
2380,2012,Adults (18+),299.0,Contra C;Osta
2381,2012,AllAges,181.0,Contra C;Osta
2382,2012,Children (0-17),45.0,Contra C;Osta
2383,2012,Adults (18+),136.0,Contra C;Osta
2384,2012,AllAges,101.0,Contra C;Osta
2385,2012,Children (0-17),34.0,Contra C;Osta
2386,2012,Adults (18+),67.0,Contra C;Osta
2387,2012,AllAges,12.0,Contra C;Osta
2388,2012,Children (0-17),0.0,Contra C;Osta
2389,2012,Adults (18+),0.0,Contra C;Osta
2390,2012,AllAges,79.0,Contra C;Osta
2391,2012,Children (0-17),22.0,Contra C;Osta
2392,2012,Adults (18+),57.0,Contra C;Osta
2393,2012,AllAges,76.0,Contra C;Osta
2394,2012,Children (0-17),25.0,Contra C;Osta
2395,2012,Adults (18+),51.0,Contra C;Osta
2396,2012,AllAges,416.0,Contra C;Osta
2397,2012,Children (0-17),174.0,Contra C;Osta
2398,2012,Adults (18+),242.0,Contra C;Osta
2399,2012,AllAges,692.0,Solano
2400,2012,Children (0-17),208.0,Solano
2401,2012,Adults (18+),484.0,Solano
2402,2012,AllAges,166.0,Solano
2403,2012,Children (0-17),54.0,Solano
2404,2012,Adults (18+),112.0,Solano
2405,2012,AllAges,314.0,Alameda
2406,2012,Children (0-17),113.0,Alameda
2407,2012,Adults (18+),201.0,Alameda
2408,2012,AllAges,368.0,Alameda
2409,2012,Children (0-17),133.0,Alameda
2410,2012,Adults (18+),235.0,Alameda
2411,2012,AllAges,89.0,Alameda
2412,2012,Children (0-17),46.0,Alameda
2413,2012,Adults (18+),43.0,Alameda
2414,2012,AllAges,655.0,Alameda
2415,2012,Children (0-17),195.0,Alameda
2416,2012,Adults (18+),460.0,Alameda
2417,2012,AllAges,64.0,Alameda
2418,2012,Children (0-17),21.0,Alameda
2419,2012,Adults (18+),43.0,Alameda
2420,2012,AllAges,610.0,Alameda
2421,2012,Children (0-17),236.0,Alameda
2422,2012,Adults (18+),374.0,Alameda
2423,2012,AllAges,278.0,Alameda
2424,2012,Children (0-17),70.0,Alameda
2425,2012,Adults (18+),208.0,Alameda
2426,2012,AllAges,253.0,Alameda
2427,2012,Children (0-17),76.0,Alameda
2428,2012,Adults (18+),177.0,Alameda
2429,2012,AllAges,114.0,Contra C;Osta
2430,2012,Children (0-17),34.0,Contra C;Osta
2431,2012,Adults (18+),80.0,Contra C;Osta
2432,2012,AllAges,47.0,Contra C;Osta
2433,2012,Children (0-17),12.0,Contra C;Osta
2434,2012,Adults (18+),35.0,Contra C;Osta
2435,2012,AllAges,138.0,Alameda
2436,2012,Children (0-17),52.0,Alameda
2437,2012,Adults (18+),86.0,Alameda
2438,2012,AllAges,103.0,Alameda
2439,2012,Children (0-17),35.0,Alameda
2440,2012,Adults (18+),68.0,Alameda
2441,2012,AllAges,20.0,Alameda
2442,2012,Children (0-17),0.0,Alameda
2443,2012,Adults (18+),0.0,Alameda
2444,2012,AllAges,276.0,Contra C;Osta
2445,2012,Children (0-17),67.0,Contra C;Osta
2446,2012,Adults (18+),209.0,Contra C;Osta
2447,2012,AllAges,142.0,Alameda
2448,2012,Children (0-17),53.0,Alameda
2449,2012,Adults (18+),89.0,Alameda
2450,2012,AllAges,17.0,Contra C;Osta
2451,2012,Children (0-17),0.0,Contra C;Osta
2452,2012,Adults (18+),12.0,Contra C;Osta
2453,2012,AllAges,256.0,Napa
2454,2012,Children (0-17),67.0,Napa
2455,2012,Adults (18+),189.0,Napa
2456,2012,AllAges,149.0,Napa
2457,2012,Children (0-17),33.0,Napa
2458,2012,Adults (18+),116.0,Napa
2459,2012,AllAges,245.0,Alameda
2460,2012,Children (0-17),126.0,Alameda
2461,2012,Adults (18+),119.0,Alameda
2462,2012,AllAges,311.0,Contra C;Osta
2463,2012,Children (0-17),100.0,Contra C;Osta
2464,2012,Adults (18+),211.0,Contra C;Osta
2465,2012,AllAges,26.0,Contra C;Osta
2466,2012,Children (0-17),0.0,Contra C;Osta
2467,2012,Adults (18+),17.0,Contra C;Osta
2468,2012,AllAges,106.0,Contra C;Osta
2469,2012,Children (0-17),29.0,Contra C;Osta
2470,2012,Adults (18+),77.0,Contra C;Osta
2471,2012,AllAges,1088.0,Contra C;Osta
2472,2012,Children (0-17),385.0,Contra C;Osta
2473,2012,Adults (18+),703.0,Contra C;Osta
2474,2012,AllAges,105.0,Alameda
2475,2012,Children (0-17),30.0,Alameda
2476,2012,Adults (18+),75.0,Alameda
2477,2012,AllAges,139.0,Alameda
2478,2012,Children (0-17),50.0,Alameda
2479,2012,Adults (18+),89.0,Alameda
2480,2012,AllAges,46.0,Solano
2481,2012,Children (0-17),13.0,Solano
2482,2012,Adults (18+),33.0,Solano
2483,2012,AllAges,116.0,Contra C;Osta
2484,2012,Children (0-17),35.0,Contra C;Osta
2485,2012,Adults (18+),81.0,Contra C;Osta
2486,2012,AllAges,21.0,Napa
2487,2012,Children (0-17),0.0,Napa
2488,2012,Adults (18+),0.0,Napa
2489,2012,AllAges,289.0,Alameda
2490,2012,Children (0-17),102.0,Alameda
2491,2012,Adults (18+),187.0,Alameda
2492,2012,AllAges,334.0,Alameda
2493,2012,Children (0-17),92.0,Alameda
2494,2012,Adults (18+),242.0,Alameda
2495,2012,AllAges,120.0,Alameda
2496,2012,Children (0-17),32.0,Alameda
2497,2012,Adults (18+),88.0,Alameda
2498,2012,AllAges,150.0,Alameda
2499,2012,Children (0-17),43.0,Alameda
2500,2012,Adults (18+),107.0,Alameda
2501,2012,AllAges,105.0,Contra C;Osta
2502,2012,Children (0-17),54.0,Contra C;Osta
2503,2012,Adults (18+),51.0,Contra C;Osta
2504,2012,AllAges,122.0,Contra C;Osta
2505,2012,Children (0-17),49.0,Contra C;Osta
2506,2012,Adults (18+),73.0,Contra C;Osta
2507,2012,AllAges,260.0,Solano
2508,2012,Children (0-17),85.0,Solano
2509,2012,Adults (18+),175.0,Solano
2510,2012,AllAges,460.0,Alameda
2511,2012,Children (0-17),157.0,Alameda
2512,2012,Adults (18+),303.0,Alameda
2513,2012,AllAges,93.0,Alameda
2514,2012,Children (0-17),43.0,Alameda
2515,2012,Adults (18+),50.0,Alameda
2516,2012,AllAges,376.0,Solano
2517,2012,Children (0-17),146.0,Solano
2518,2012,Adults (18+),230.0,Solano
2519,2012,AllAges,548.0,Solano
2520,2012,Children (0-17),149.0,Solano
2521,2012,Adults (18+),399.0,Solano
2522,2012,AllAges,395.0,Solano
2523,2012,Children (0-17),141.0,Solano
2524,2012,Adults (18+),254.0,Solano
2525,2012,AllAges,67.0,Contra C;Osta
2526,2012,Children (0-17),0.0,Contra C;Osta
2527,2012,Adults (18+),63.0,Contra C;Osta
2528,2012,AllAges,61.0,Contra C;Osta
2529,2012,Children (0-17),0.0,Contra C;Osta
2530,2012,Adults (18+),52.0,Contra C;Osta
2531,2012,AllAges,63.0,Contra C;Osta
2532,2012,Children (0-17),16.0,Contra C;Osta
2533,2012,Adults (18+),47.0,Contra C;Osta
2534,2012,AllAges,54.0,Contra C;Osta
2535,2012,Children (0-17),12.0,Contra C;Osta
2536,2012,Adults (18+),42.0,Contra C;Osta
2537,2012,AllAges,481.0,Alameda
2538,2012,Children (0-17),138.0,Alameda
2539,2012,Adults (18+),343.0,Alameda
2540,2012,AllAges,180.0,Alameda
2541,2012,Children (0-17),38.0,Alameda
2542,2012,Adults (18+),142.0,Alameda
2543,2012,AllAges,508.0,Alameda
2544,2012,Children (0-17),146.0,Alameda
2545,2012,Adults (18+),362.0,Alameda
2546,2012,AllAges,529.0,Alameda
2547,2012,Children (0-17),144.0,Alameda
2548,2012,Adults (18+),385.0,Alameda
2549,2012,AllAges,276.0,Alameda
2550,2012,Children (0-17),85.0,Alameda
2551,2012,Adults (18+),191.0,Alameda
2552,2012,AllAges,329.0,Alameda
2553,2012,Children (0-17),72.0,Alameda
2554,2012,Adults (18+),257.0,Alameda
2555,2012,AllAges,481.0,Alameda
2556,2012,Children (0-17),57.0,Alameda
2557,2012,Adults (18+),424.0,Alameda
2558,2012,AllAges,207.0,Alameda
2559,2012,Children (0-17),44.0,Alameda
2560,2012,Adults (18+),163.0,Alameda
2561,2012,AllAges,163.0,Alameda
2562,2012,Children (0-17),27.0,Alameda
2563,2012,Adults (18+),136.0,Alameda
2564,2012,AllAges,87.0,Alameda
2565,2012,Children (0-17),26.0,Alameda
2566,2012,Adults (18+),61.0,Alameda
2567,2012,AllAges,123.0,Alameda
2568,2012,Children (0-17),24.0,Alameda
